2025-11-25 10:29:39,782 | INFO    | dnd_bot | /list from Doge_tm (478122255)
2025-11-25 10:29:39,942 | INFO    | aiogram.event | Update id=589781360 is handled. Duration 159 ms by bot id=8500394417
2025-11-25 10:30:58,745 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 10:30:58,746 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 10:30:58,746 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 10:30:58,998 | INFO    | dnd_bot | Bot stopped
2025-11-25 10:59:26,498 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 10:59:26,498 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 11:00:19,488 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 11:00:19,488 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 11:00:36,808 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 11:00:36,808 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 11:01:17,626 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 11:01:17,626 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 11:01:17,626 | INFO    | dnd_bot | Seeding items table
2025-11-25 11:01:17,638 | INFO    | dnd_bot | Bot starting...
2025-11-25 11:01:17,638 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 11:01:18,043 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 11:01:18,517 | INFO    | aiogram.event | Update id=589781361 is handled. Duration 362 ms by bot id=8500394417
2025-11-25 11:01:22,766 | INFO    | aiogram.event | Update id=589781362 is handled. Duration 130 ms by bot id=8500394417
2025-11-25 11:01:23,772 | INFO    | aiogram.event | Update id=589781363 is handled. Duration 164 ms by bot id=8500394417
2025-11-25 11:01:24,610 | INFO    | aiogram.event | Update id=589781364 is handled. Duration 133 ms by bot id=8500394417
2025-11-25 11:01:25,711 | INFO    | aiogram.event | Update id=589781365 is handled. Duration 122 ms by bot id=8500394417
